epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,distill/alpha,distill/temperature,distill/kd_loss
1,3.81731,1.28077,1.75639,1.33692,0.6544,0.53034,0.60965,0.45351,1.08845,1.10638,1.12683,8.33e-06,8.33e-06,8.33e-06,0.45,6.000227,0.0
2,7.43134,1.3007,1.55409,1.31163,0.6886,0.53504,0.62606,0.46843,1.08248,1.0701,1.12239,1.62078e-05,1.62078e-05,1.62078e-05,0.45,6.000227,0.0
3,10.8327,1.28012,1.53181,1.29019,0.67604,0.57171,0.63856,0.47794,1.07577,1.05047,1.1177,2.23339e-05,2.23339e-05,2.23339e-05,0.45,6.000227,0.0
